date;heure;dept;ville;CP;adresse;adresse complete;carr;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh;wgs84
2013-06-12;21:55;75;Paris;75007;/, PLACE DE L ECOLE MILI;PLACE DE L ECOLE MILITAIRE;1_75107_2920;PLACE DE L ECOLE MILITAIRE;AVENUE DE LA MOTTE PICQUET;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.854156, 2.306064
2013-10-27;02:50;75;Paris;75007;14 BIS, RUE OUDINOT;14 BIS, RUE OUDINOT;1_75107_3687;RUE OUDINOT;RUE MONSIEUR;Scoo>125;A;;;;;Cond;BH;A;;;;;;;;;;48.850076, 2.317189
2012-04-13;08:50;75;Paris;75007;18 BIS, AVENUE DE LA MOT;18 BIS, AVENUE DE LA MOTTE PICQUET;1_75107_3081;AVENUE DE LA MOTTE PICQUET;RUE BOUGAINVILLE;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.85607, 2.30784
2013-06-11;09:30;75;Paris;75007;88 BIS, BOULEVARD DE LA;88 BIS, BOULEVARD DE LA TOUR MAUBOURG;;BOULEVARD DE LA TOUR MAUBOURG;;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.854818, 2.309449
2013-03-26;14:20;75;Paris;75007;AVENUE DE LA MOTTE PICQU;AVENUE DE LA MOTTE PICQUET;1_75107_3221;AVENUE DE LA MOTTE PICQUET;BOULEVARD DE LA TOUR MAUBOURG;VL;A;;;;;Piéton;BL;A;Cond;Indem;A;;;;;;;48.85624, 2.30844
2012-05-13;08:50;75;Paris;75007;AVENUE DE LOWENDAL;AVENUE DE LOWENDAL;1_75107_2987;AVENUE DE LOWENDAL;PLACE DE FONTENOY;VU;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.851821, 2.30727
2012-01-18;11:20;75;Paris;75007;AVENUE DE LOWENDAL;AVENUE DE LOWENDAL;1_75107_2783;AVENUE DE LOWENDAL;AVENUE DE SUFFREN;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.851821, 2.30727
2013-09-28;09:00;75;Paris;75007;AVENUE DE TOURVILLE;AVENUE DE TOURVILLE;1_75107_3188;AVENUE DE TOURVILLE;BOULEVARD DE LA TOUR MAUBOURG;VL;Z;;;;;Piéton;BL;Z;;;;;;;;;;48.853927, 2.308005
2012-10-16;16:20;75;Paris;75007;AVENUE DU MARECHAL GALLI;AVENUE DU MARECHAL GALLIENI;1_75107_3456;AVENUE DU MARECHAL GALLIENI;RUE DE L UNIVERSITE;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.860829, 2.313208
2012-07-20;15:15;75;Paris;75007;BOULEVARD DES INVALIDES;BOULEVARD DES INVALIDES;1_75107_3681;BOULEVARD DES INVALIDES;RUE DE SEVRES;VL;A;VL;B;Bicy;C;Cond;Indem;A;Cond;Indem;B;Cond;BL;C;;;;48.854904, 2.314688
2012-01-06;23:25;75;Paris;75007;PLACE DE FONTENOY;PLACE DE FONTENOY;1_75107_3015;PLACE DE FONTENOY;RUE D ESTREES;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;;48.850394, 2.306777
2012-11-27;13:35;75;Paris;75007;PLACE VAUBAN;PLACE VAUBAN;1_75107_3446;PLACE VAUBAN;AVENUE DE VILLARS;VL;A;Scoo<=50;B;Cyclo;C;Cond;Indem;C;Cond;Indem;A;Cond;BL;B;;;;48.853171, 2.312391
